HolderAddress;Balance;PendingBalanceUpdate
0xbe07d3efd7febcdf3c42bbda147ac33bd736bc93;2,171,971.280041074746696671;No
0x67ad0164dc1c0be38b0b927664edb36848b4809f;2,122,464.133173006471138323;No
0x13eca1e17cb8789919a0d736f3dc3b16018027a7;2,039,054.309399729038752471;No
0x09b0b4e76f5d85765182bbc59b0e35fd12f0c63e;2,001,291.768877718194718001;No
0xdb06b24ae609e9d3fa4aee9a5ff676324ab569d1;1,982,789.042422853468205134;No
0x9e94d15d09829fcb2e5c6b3fd9c3fe33e12481a7;1,964,050.649724724527389743;No
0xe450d4ab48e29a2e66a350047924f5a54d43a4bc;1,963,998.619892396644299661;No
0x0e24aa9788442285b651b78b39a1aa16de421ac0;1,912,495.69432554211039268;No
0xcd881ce644ab7405d61c385df337bc21811d3c31;1,860,054;No
0xfc5193d44f107dd183a7973572eaf05d0caa5806;1,822,985.657498001526024187;No
0xcbe2f5ceb641b5aa51ba8ee620b7e3aa1219b88f;1,715,176.595099760188399877;No
0x557aa8673653ba81aea421b0f7eb753c4519f063;1,699,997.535905363551004347;No
0xe4db8ca41b8d7d03df9d6d598c22b05b259c0201;1,654,147.067929653678846273;No
0xafb1c96e706556af384e0a51e59e3f533414f22b;1,611,406.652484242612666906;No
0x8202f695b73dd2340ec0d952ecc9229fab479393;1,563,181.818449261947218806;No
0xb697207ce71bbb8c516b8edf1183c01745407543;1,555,252.329508796795416603;No
0x5519336cc088dea244141df2e9555b34d29f60ea;1,513,449.025026575748118435;No
0xf91b2601abf205ecb9bf15c3f10790fc73295d9a;1,473,748.422010445109927971;No
0xcee29bc992a1dc16bb81415c06d73b260a1c1219;1,467,600.131363653580504022;No
0x28d87f586ca2e607cf6004a2e98ef821ac455875;1,388,109.774994804105575245;No
0xc0198371b1d9e40a93f51643412c99835244a323;1,363,474.254869234922472929;No
0x39798a6d3197f757fbd2e9371204165f55a77a43;1,363,421.226364337806266537;No
0xb27afc0ae2ee68504624a28356308d34bfd7983c;1,324,332.677067697644695011;No
0xd0489cec3f3d204853321974b90815f684552298;1,297,103.242205601017421115;No
0xbd21edaa2b1519030b93e8e8be6d9e5043773f25;1,221,302.552655028277735099;No
0xaa80d36eb242c5a6594c083946356d16527b4b2a;1,142,746.05948238605666737;No
0x623caa761b0347f86415347b612f1a111371d06e;1,107,386.01993576214602725;No
0xaf78fac90050a716703c89188a23d576045acdad;1,103,234.202578217419167852;No
0xeff6ecdb47ad68303ddfddb5a5babf9416e4bf59;1,067,644.510750634447510415;No
0xa10ad44b44e91f96601ac36e8923502403fe0868;1,061,583.903172770699303579;No
0x9fd0862d22f9b690629dad67687d7bdc627d4a4a;1,024,403.801872002361937507;No
0xec50518323204cc82cfd3dc03e997aa51561622f;1,011,746.431376978259661921;No
0xf9160532a96755b7e08b5a0b78669f9c2fee6c32;1,002,111.044658194463215811;No
0x33af2064be09c34302c4ca8b8529a0e659243016;1,000,001.04208219987268828;No
0xf504222191dd0eca8760d2eaa3aded32065589f6;999,080.144246626831755466;No
0xa2ff9783bc28e3dde8f03c52cfa7a53fa315c323;985,865.458966385717319692;No
0x2910df9b90173e7264b1329de0dc8ef107cf16ae;977,726.970000000000097575;No
0xdc795cb78d814b1ae4a6ecd29c5d84012045ab74;939,726.76521459050758668;No
0x735e3c3a394844c911f0f9cc8281e1f9baea9516;903,842.938598231764795779;No
0xfa7e30ec95f77d4a346e42e472ec6f52961f1152;900,000;No
0xb23cfe2d6b31473a5c9af898f70ec9537752030b;899,418.181670999774986887;No
0x0ff5b3794904fa0d60d70848ac9184faa52ec309;871,226.032811003532153026;No
0x86c05b47889f8e585b0e4b2991eff1a2f6218354;833,002.380313770716496517;No
0xb34207625cdfa2b2c7736b4fa59cdb7dc01fdd51;828,239.755179861437921738;No
0xf137b5167bd9738687dd37751fbb200dc1f27901;824,813.940908761712955188;No
0x85ff7b82fce7e9da266a0282dc0994df1419e9f0;817,717.316995210792393714;No
0xe12758c791878eeebd18e29a71d6a55b0cf49bf7;808,739.922915896690982524;No
0xc762d0c0353597c3a1922aa28bf73e6d301e360c;802,383.144809488944151557;No
0x628b4ea8a23b84a4635b0c8c31f8bfcfa8a8e901;739,910.484204287901983452;No
0x6c594f5a5216f0cbd8913d72ed09b2c94bf822a6;739,782.206886587613293765;No
0x0309131bbb61c9e5f4427b930800cdfe96ae82a4;653,191.712693631938163428;No
0xad91e78611bed8e5073f5143cedbd520640af414;649,336.47060182980617099;No
0xc35fa395cd1cabf43a13d62b5e9a42f24e06a495;615,412.315642927390924732;No
0x5be86c4edfc1e0721ae48de722470511cd728bc3;611,651.794833641047560649;No
0x2c50609f6c02785a8872c8607a7c97455a91fed2;611,002.480928480157949448;No
0x26adfb2bd4a5f275d626542badb0e98071e78aa9;584,440.764154864839345291;No
0x78ad9bf791412cfcdb8164db0a7689a31f0bd8c0;580,191.543684619158448082;No
0x0e3ac67a4a4f32020ecdcd6a00ee654a1df6fc0d;564,043;No
0xa41cef404a2bcf281a72edbb444d244fc73c2e5a;508,271.733217882533695437;No
0x6f8b5e581c0c611cc64cdf7ae8096928bb768c8f;506,041.118589277323636528;No
0x0e375ef7e468325caef0bd5894e9d47254dc65dc;503,671.138787609588589671;No
0xc9dfa7f42ac258d96eae4f220dafd53b0211d791;488,435.005954233202973478;No
